AssetTag,Type,Model,Serial,Department,AssignedTo,OS/Firmware,Encryption,Status,PurchaseDate
LAP-EXE-001,Laptop,Lenovo ThinkPad T14,CTS100001,Executive,abrooks1,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-EXE-002,Laptop,HP EliteBook 840 G10,CTS100002,Executive,jellis2,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-EXE-003,Laptop,Dell Latitude 5440,CTS100003,Executive,mreed3,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-EXE-004,Laptop,Lenovo ThinkPad T14,CTS100004,Executive,tprice4,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-005,Laptop,HP EliteBook 840 G10,CTS100005,IT,cbrooks5,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-006,Laptop,Dell Latitude 5440,CTS100006,IT,rellis6,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-007,Laptop,Lenovo ThinkPad T14,CTS100007,IT,creed7,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-008,Laptop,HP EliteBook 840 G10,CTS100008,IT,pprice8,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-009,Laptop,Dell Latitude 5440,CTS100009,IT,qmorgan9,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-010,Laptop,Lenovo ThinkPad T14,CTS100010,IT,dbennett10,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-011,Laptop,HP EliteBook 840 G10,CTS100011,IT,sfoster11,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-IT-012,Laptop,Dell Latitude 5440,CTS100012,IT,rhayes12,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-013,Laptop,Lenovo ThinkPad T14,CTS100013,Finance,ebrooks13,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-014,Laptop,HP EliteBook 840 G10,CTS100014,Finance,rellis14,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-015,Laptop,Dell Latitude 5440,CTS100015,Finance,freed15,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-016,Laptop,Lenovo ThinkPad T14,CTS100016,Finance,amorgan16,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-017,Laptop,HP EliteBook 840 G10,CTS100017,Finance,jbennett17,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-018,Laptop,Dell Latitude 5440,CTS100018,Finance,mfoster18,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-019,Laptop,Lenovo ThinkPad T14,CTS100019,Finance,thayes19,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-020,Laptop,HP EliteBook 840 G10,CTS100020,Finance,cbailey20,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-FIN-021,Laptop,Dell Latitude 5440,CTS100021,Finance,rsimmons21,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-022,Laptop,Lenovo ThinkPad T14,CTS100022,Human Resources,cellis22,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-023,Laptop,HP EliteBook 840 G10,CTS100023,Human Resources,preed23,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-024,Laptop,Dell Latitude 5440,CTS100024,Human Resources,qprice24,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-025,Laptop,Lenovo ThinkPad T14,CTS100025,Human Resources,dmorgan25,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-026,Laptop,HP EliteBook 840 G10,CTS100026,Human Resources,sbennett26,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-027,Laptop,Dell Latitude 5440,CTS100027,Human Resources,rfoster27,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-HUM-028,Laptop,Lenovo ThinkPad T14,CTS100028,Human Resources,ehayes28,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-029,Laptop,HP EliteBook 840 G10,CTS100029,Operations,rellis29,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-030,Laptop,Dell Latitude 5440,CTS100030,Operations,freed30,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-031,Laptop,Lenovo ThinkPad T14,CTS100031,Operations,amorgan31,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-032,Laptop,HP EliteBook 840 G10,CTS100032,Operations,jbennett32,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-033,Laptop,Dell Latitude 5440,CTS100033,Operations,mfoster33,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-034,Laptop,Lenovo ThinkPad T14,CTS100034,Operations,thayes34,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-035,Laptop,HP EliteBook 840 G10,CTS100035,Operations,cbailey35,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-036,Laptop,Dell Latitude 5440,CTS100036,Operations,rsimmons36,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-037,Laptop,Lenovo ThinkPad T14,CTS100037,Operations,ccoleman37,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-038,Laptop,HP EliteBook 840 G10,CTS100038,Operations,pturner38,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-039,Laptop,Dell Latitude 5440,CTS100039,Operations,qward39,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-OPE-040,Laptop,Lenovo ThinkPad T14,CTS100040,Operations,djames40,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-041,Laptop,HP EliteBook 840 G10,CTS100041,Sales,sreed41,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-042,Laptop,Dell Latitude 5440,CTS100042,Sales,rprice42,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-043,Laptop,Lenovo ThinkPad T14,CTS100043,Sales,emorgan43,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-044,Laptop,HP EliteBook 840 G10,CTS100044,Sales,rbennett44,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-045,Laptop,Dell Latitude 5440,CTS100045,Sales,ffoster45,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-046,Laptop,Lenovo ThinkPad T14,CTS100046,Sales,abailey46,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-047,Laptop,HP EliteBook 840 G10,CTS100047,Sales,jsimmons47,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-048,Laptop,Dell Latitude 5440,CTS100048,Sales,mcoleman48,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-049,Laptop,Lenovo ThinkPad T14,CTS100049,Sales,tturner49,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-050,Laptop,HP EliteBook 840 G10,CTS100050,Sales,cward50,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-051,Laptop,Dell Latitude 5440,CTS100051,Sales,rjames51,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-052,Laptop,Lenovo ThinkPad T14,CTS100052,Sales,cperry52,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-053,Laptop,HP EliteBook 840 G10,CTS100053,Sales,pbrooks53,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-054,Laptop,Dell Latitude 5440,CTS100054,Sales,qellis54,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-SAL-055,Laptop,Lenovo ThinkPad T14,CTS100055,Sales,dreed55,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-056,Laptop,HP EliteBook 840 G10,CTS100056,Marketing,sprice56,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-057,Laptop,Dell Latitude 5440,CTS100057,Marketing,rmorgan57,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-058,Laptop,Lenovo ThinkPad T14,CTS100058,Marketing,ebennett58,Windows 11 Pro,Encrypted,In Service,2026-01-15
LAP-MAR-059,Laptop,HP EliteBook 840 G10,CTS100059,Marketing,rfoster59,Windows 11 Pro,Encrypted,In Service,2026-01-15
