ticket_id,opened_date,category,priority,status,resolution_minutes,first_contact_resolved,csat_score,sla_met
TCK-1001,2026-01-04,Access,P3,Resolved,52,1,5,1
TCK-1002,2026-01-08,Hardware,P2,Resolved,185,0,4,1
TCK-1003,2026-01-13,Microsoft 365,P2,Resolved,96,1,5,1
TCK-1004,2026-02-02,Network,P1,Resolved,64,0,4,1
TCK-1005,2026-02-11,Access,P3,Resolved,41,1,5,1
TCK-1006,2026-02-19,Software,P3,Resolved,112,1,4,0
TCK-1007,2026-03-03,Microsoft 365,P2,Resolved,78,1,5,1
TCK-1008,2026-03-17,Network,P2,Resolved,143,0,3,0
TCK-1009,2026-04-06,Hardware,P3,Resolved,134,0,4,1
TCK-1010,2026-04-22,Access,P4,Resolved,36,1,5,1
TCK-1011,2026-05-05,Security,P1,Resolved,58,0,5,1
TCK-1012,2026-05-18,Software,P3,Resolved,89,1,4,1
TCK-1013,2026-06-07,Microsoft 365,P2,Resolved,73,1,5,1
TCK-1014,2026-06-20,Network,P2,Resolved,128,0,4,1
TCK-1015,2026-07-02,Access,P3,Resolved,39,1,5,1
TCK-1016,2026-07-11,Hardware,P3,Resolved,121,0,4,1
TCK-1017,2026-07-19,Security,P1,Resolved,47,1,5,1
TCK-1018,2026-07-28,Microsoft 365,P2,Resolved,69,1,5,1
