job_id,workload,started_at,backup_date,backup_month,duration_minutes,duration_hours,result,success_flag,data_size_gb,restore_tested,repository,requires_follow_up
BKP-5000,PKI,2026-06-22T19:00,2026-06-22,2026-06,77,1.28,Success,1,405,0,AWS Backup Vault,1
BKP-5001,File Services,2026-03-04T09:00,2026-03-04,2026-03,76,1.27,Success,1,728,0,SaaS Backup,1
BKP-5002,PKI,2026-06-01T13:00,2026-06-01,2026-06,55,0.92,Success,1,416,0,Immutable Repository,1
BKP-5003,File Services,2026-03-29T13:00,2026-03-29,2026-03,23,0.38,Success,1,637,0,AWS Backup Vault,1
BKP-5004,Windows Servers,2026-03-22T22:00,2026-03-22,2026-03,104,1.73,Success,1,637,0,SaaS Backup,1
BKP-5005,File Services,2026-06-12T09:00,2026-06-12,2026-06,56,0.93,Success,1,144,0,Primary Repository,1
BKP-5006,Windows Servers,2026-02-01T09:00,2026-02-01,2026-02,131,2.18,Success,1,740,0,AWS Backup Vault,1
BKP-5007,Microsoft 365,2026-07-29T15:00,2026-07-29,2026-07,25,0.42,Success,1,541,0,SaaS Backup,1
BKP-5008,File Services,2026-07-14T03:00,2026-07-14,2026-07,139,2.32,Success,1,704,0,SaaS Backup,1
BKP-5009,Microsoft 365,2026-03-09T05:00,2026-03-09,2026-03,72,1.2,Success,1,546,0,Primary Repository,1
BKP-5010,Windows Servers,2026-07-11T20:00,2026-07-11,2026-07,55,0.92,Success,1,725,0,Immutable Repository,1
BKP-5011,Microsoft 365,2026-06-22T20:00,2026-06-22,2026-06,48,0.8,Success,1,191,1,Primary Repository,0
BKP-5012,Active Directory,2026-07-20T21:00,2026-07-20,2026-07,61,1.02,Success,1,682,1,AWS Backup Vault,0
BKP-5013,Linux Servers,2026-06-04T12:00,2026-06-04,2026-06,121,2.02,Success,1,165,0,SaaS Backup,1
BKP-5014,Microsoft 365,2026-02-10T23:00,2026-02-10,2026-02,160,2.67,Success,1,158,0,Primary Repository,1
BKP-5015,Active Directory,2026-06-04T09:00,2026-06-04,2026-06,25,0.42,Success,1,504,0,AWS Backup Vault,1
BKP-5016,PKI,2026-03-28T00:00,2026-03-28,2026-03,51,0.85,Success,1,660,0,SaaS Backup,1
BKP-5017,PKI,2026-03-18T17:00,2026-03-18,2026-03,91,1.52,Success,1,605,0,AWS Backup Vault,1
BKP-5018,PKI,2026-04-25T03:00,2026-04-25,2026-04,107,1.78,Success,1,642,0,SaaS Backup,1
BKP-5019,Windows Servers,2026-02-02T17:00,2026-02-02,2026-02,45,0.75,Success,1,832,0,AWS Backup Vault,1
BKP-5020,Windows Servers,2026-01-29T07:00,2026-01-29,2026-01,102,1.7,Success,1,191,0,SaaS Backup,1
BKP-5021,AWS RDS,2026-04-17T07:00,2026-04-17,2026-04,29,0.48,Success,1,542,0,Immutable Repository,1
BKP-5022,AWS RDS,2026-01-13T10:00,2026-01-13,2026-01,153,2.55,Success,1,575,0,AWS Backup Vault,1
BKP-5023,Microsoft 365,2026-03-09T15:00,2026-03-09,2026-03,156,2.6,Success,1,343,0,Primary Repository,1
BKP-5024,PKI,2026-04-07T18:00,2026-04-07,2026-04,140,2.33,Success,1,660,0,Primary Repository,1
BKP-5025,AWS RDS,2026-03-25T16:00,2026-03-25,2026-03,41,0.68,Success,1,381,0,SaaS Backup,1
BKP-5026,Microsoft 365,2026-05-26T16:00,2026-05-26,2026-05,107,1.78,Success,1,623,0,Immutable Repository,1
BKP-5027,PKI,2026-07-20T03:00,2026-07-20,2026-07,72,1.2,Success,1,117,1,AWS Backup Vault,0
BKP-5028,Linux Servers,2026-03-17T10:00,2026-03-17,2026-03,105,1.75,Success,1,44,0,Primary Repository,1
BKP-5029,AWS RDS,2026-06-28T12:00,2026-06-28,2026-06,129,2.15,Success,1,377,0,Immutable Repository,1
BKP-5030,Linux Servers,2026-01-21T16:00,2026-01-21,2026-01,84,1.4,Success,1,223,0,Primary Repository,1
BKP-5031,AWS RDS,2026-01-06T01:00,2026-01-06,2026-01,150,2.5,Success,1,730,0,AWS Backup Vault,1
BKP-5032,PKI,2026-05-21T02:00,2026-05-21,2026-05,133,2.22,Success,1,805,0,SaaS Backup,1
BKP-5033,Active Directory,2026-03-23T08:00,2026-03-23,2026-03,133,2.22,Success,1,585,0,SaaS Backup,1
BKP-5034,Microsoft 365,2026-06-30T19:00,2026-06-30,2026-06,74,1.23,Success,1,249,0,Immutable Repository,1
BKP-5035,Linux Servers,2026-02-15T20:00,2026-02-15,2026-02,57,0.95,Success,1,70,0,SaaS Backup,1
BKP-5036,Windows Servers,2026-02-19T20:00,2026-02-19,2026-02,142,2.37,Success,1,44,0,SaaS Backup,1
BKP-5037,Windows Servers,2026-07-11T21:00,2026-07-11,2026-07,56,0.93,Success,1,396,0,SaaS Backup,1
BKP-5038,Linux Servers,2026-01-09T09:00,2026-01-09,2026-01,120,2.0,Success,1,369,0,Immutable Repository,1
BKP-5039,File Services,2026-06-04T11:00,2026-06-04,2026-06,39,0.65,Success,1,687,0,Immutable Repository,1
BKP-5040,Windows Servers,2026-07-16T11:00,2026-07-16,2026-07,107,1.78,Success,1,570,1,Primary Repository,0
BKP-5041,File Services,2026-04-05T06:00,2026-04-05,2026-04,63,1.05,Success,1,818,0,Primary Repository,1
BKP-5042,Linux Servers,2026-03-18T10:00,2026-03-18,2026-03,152,2.53,Success,1,650,0,Primary Repository,1
BKP-5043,Windows Servers,2026-02-12T14:00,2026-02-12,2026-02,96,1.6,Success,1,825,0,AWS Backup Vault,1
BKP-5044,Windows Servers,2026-02-25T02:00,2026-02-25,2026-02,87,1.45,Success,1,448,0,Primary Repository,1
BKP-5045,Microsoft 365,2026-04-09T19:00,2026-04-09,2026-04,87,1.45,Success,1,587,0,Primary Repository,1
BKP-5046,Windows Servers,2026-07-01T02:00,2026-07-01,2026-07,34,0.57,Success,1,57,0,SaaS Backup,1
BKP-5047,Windows Servers,2026-06-30T16:00,2026-06-30,2026-06,125,2.08,Success,1,239,0,Immutable Repository,1
BKP-5048,Windows Servers,2026-07-08T18:00,2026-07-08,2026-07,63,1.05,Success,1,144,0,Immutable Repository,1
BKP-5049,Microsoft 365,2026-02-07T03:00,2026-02-07,2026-02,154,2.57,Success,1,423,0,Immutable Repository,1
BKP-5050,PKI,2026-07-11T03:00,2026-07-11,2026-07,33,0.55,Success,1,75,0,AWS Backup Vault,1
BKP-5051,Linux Servers,2026-02-19T20:00,2026-02-19,2026-02,18,0.3,Success,1,261,0,Immutable Repository,1
BKP-5052,File Services,2026-04-08T10:00,2026-04-08,2026-04,94,1.57,Success,1,612,0,SaaS Backup,1
BKP-5053,AWS RDS,2026-06-10T01:00,2026-06-10,2026-06,89,1.48,Success,1,302,0,Primary Repository,1
BKP-5054,Active Directory,2026-04-08T11:00,2026-04-08,2026-04,67,1.12,Success,1,403,0,Immutable Repository,1
BKP-5055,Microsoft 365,2026-02-20T21:00,2026-02-20,2026-02,13,0.22,Success,1,363,0,Primary Repository,1
BKP-5056,AWS RDS,2026-04-08T20:00,2026-04-08,2026-04,90,1.5,Success,1,180,0,Primary Repository,1
BKP-5057,PKI,2026-07-27T16:00,2026-07-27,2026-07,23,0.38,Success,1,592,0,SaaS Backup,1
