change_id,change_date,change_month,change_type,risk,technology,result,success_flag,rollback_required,incident_created,owner_team,failed_or_impacted
CHG-2001,2026-06-01,2026-06,Standard,Medium,Linux,Success,1,0,0,Security,0
CHG-2002,2026-02-25,2026-02,Standard,Low,Security,Success,1,0,0,Identity,0
CHG-2003,2026-06-02,2026-06,Standard,Low,Microsoft 365,Success,1,0,0,Identity,0
CHG-2004,2026-06-30,2026-06,Normal,Medium,Windows,Success,1,0,0,Network,0
CHG-2005,2026-06-03,2026-06,Standard,High,Windows,Success,1,0,0,Network,0
CHG-2006,2026-03-27,2026-03,Normal,Medium,Network,Success,1,0,0,Infrastructure,0
CHG-2007,2026-02-02,2026-02,Standard,High,Network,Success,1,0,0,Network,0
CHG-2008,2026-03-25,2026-03,Standard,Medium,Windows,Success,1,0,0,Security,0
CHG-2009,2026-02-17,2026-02,Normal,Medium,Windows,Success,1,0,0,Cloud Operations,0
CHG-2010,2026-05-01,2026-05,Standard,Medium,Microsoft 365,Success,1,0,0,Identity,0
CHG-2011,2026-06-19,2026-06,Normal,Low,Security,Success,1,0,0,Security,0
CHG-2012,2026-07-16,2026-07,Standard,Medium,Network,Success,1,0,0,Cloud Operations,0
CHG-2013,2026-02-07,2026-02,Standard,High,Security,Success,1,0,0,Identity,0
CHG-2014,2026-05-09,2026-05,Standard,Low,Network,Success,1,0,0,Cloud Operations,0
CHG-2015,2026-06-13,2026-06,Standard,High,Security,Success,1,0,0,Network,0
CHG-2016,2026-04-03,2026-04,Normal,High,Security,Success,1,0,0,Security,0
CHG-2017,2026-03-02,2026-03,Standard,Medium,Windows,Success,1,0,0,Identity,0
CHG-2018,2026-04-10,2026-04,Standard,Low,Network,Success,1,0,0,Security,0
CHG-2019,2026-07-04,2026-07,Standard,Medium,Network,Success,1,0,0,Infrastructure,0
CHG-2020,2026-03-25,2026-03,Normal,Low,AWS,Success,1,0,0,Network,0
CHG-2021,2026-05-11,2026-05,Normal,Medium,Windows,Success,1,0,0,Cloud Operations,0
CHG-2022,2026-03-28,2026-03,Normal,High,Security,Success,1,0,0,Infrastructure,0
CHG-2023,2026-03-04,2026-03,Standard,Low,Security,Success,1,0,0,Identity,0
CHG-2024,2026-05-23,2026-05,Standard,Low,Security,Success,1,0,0,Network,0
CHG-2025,2026-04-02,2026-04,Standard,High,Network,Success,1,0,0,Infrastructure,0
CHG-2026,2026-02-19,2026-02,Normal,High,Network,Success,1,0,0,Cloud Operations,0
CHG-2027,2026-06-02,2026-06,Normal,Medium,Security,Success,1,0,0,Identity,0
CHG-2028,2026-04-26,2026-04,Standard,Medium,Security,Success,1,0,0,Network,0
CHG-2029,2026-04-30,2026-04,Normal,Low,Linux,Success,1,0,0,Cloud Operations,0
CHG-2030,2026-03-28,2026-03,Normal,Low,Linux,Success,1,0,0,Identity,0
CHG-2031,2026-02-03,2026-02,Normal,Medium,AWS,Success,1,0,0,Cloud Operations,0
CHG-2032,2026-06-06,2026-06,Standard,Medium,Network,Success,1,0,0,Infrastructure,0
CHG-2033,2026-03-10,2026-03,Emergency,Medium,Network,Success,1,0,0,Network,0
CHG-2034,2026-07-28,2026-07,Standard,Low,Microsoft 365,Success,1,0,0,Identity,0
CHG-2035,2026-01-22,2026-01,Normal,Low,AWS,Success,1,0,0,Network,0
CHG-2036,2026-04-25,2026-04,Normal,Low,Windows,Success,1,0,0,Security,0
CHG-2037,2026-04-08,2026-04,Normal,Low,Security,Success,1,0,0,Network,0
CHG-2038,2026-01-20,2026-01,Standard,High,Security,Success,1,0,0,Network,0
CHG-2039,2026-04-03,2026-04,Normal,Medium,Linux,Success,1,0,0,Cloud Operations,0
CHG-2040,2026-05-27,2026-05,Normal,Medium,Windows,Success,1,0,0,Cloud Operations,0
CHG-2041,2026-06-18,2026-06,Normal,Low,Security,Success,1,0,0,Identity,0
CHG-2042,2026-01-04,2026-01,Emergency,High,AWS,Success,1,0,0,Cloud Operations,0
CHG-2043,2026-05-11,2026-05,Standard,Medium,Windows,Success,1,0,0,Network,0
CHG-2044,2026-03-08,2026-03,Standard,High,AWS,Success,1,0,0,Infrastructure,0
CHG-2045,2026-01-07,2026-01,Normal,Medium,Microsoft 365,Success,1,0,0,Security,0
