resource_id,provider,resource_type,environment,region,monthly_cost_usd,annualized_cost_usd,tag_compliant,monitoring_enabled,backup_enabled,owner,governance_gap_count,optimization_review
CLD-0001,AWS,Azure SQL,Development,eastus2,486.48,5837.76,1,1,1,Application Team,0,0
CLD-0002,AZURE,Azure SQL,Test,eastus2,608.78,7305.36,1,1,1,Application Team,0,1
CLD-0003,AZURE,S3,Development,eastus,105.72,1268.64,1,1,0,Security,1,0
CLD-0004,AWS,S3,Test,us-east-1,933.07,11196.84,1,1,1,Cloud Operations,0,1
CLD-0005,AWS,Lambda,Development,us-east-2,364.3,4371.6,1,1,1,Cloud Operations,0,0
CLD-0006,AZURE,Azure SQL,Test,eastus2,108.19,1298.28,0,1,1,Application Team,1,0
CLD-0007,AWS,Azure SQL,Test,eastus2,467.95,5615.4,1,1,0,Cloud Operations,1,0
CLD-0008,AZURE,EC2,Development,us-east-1,297.68,3572.16,1,1,1,Cloud Operations,0,0
CLD-0009,AWS,Azure VM,Development,us-east-1,441.09,5293.08,1,1,1,Application Team,0,0
CLD-0010,AWS,EC2,Test,eastus2,434.38,5212.56,1,1,1,Data Team,0,0
CLD-0011,AZURE,Function App,Test,us-east-2,366.78,4401.36,1,0,1,Cloud Operations,1,0
CLD-0012,AWS,Function App,Production,eastus,480.26,5763.12,1,1,1,Security,0,0
CLD-0013,AZURE,RDS,Development,eastus,819.1,9829.2,1,1,1,Cloud Operations,0,1
CLD-0014,AZURE,Function App,Development,us-east-1,858.84,10306.08,1,0,1,Data Team,1,1
CLD-0015,AZURE,EC2,Development,us-east-2,598.9,7186.8,1,1,1,Data Team,0,1
CLD-0016,AZURE,S3,Development,eastus,694.02,8328.24,1,1,1,Cloud Operations,0,1
CLD-0017,AZURE,RDS,Development,us-east-2,108.42,1301.04,1,1,1,Cloud Operations,0,0
CLD-0018,AWS,Azure SQL,Development,eastus,162.71,1952.52,1,1,1,Application Team,0,0
CLD-0019,AZURE,Azure VM,Production,us-east-1,370.5,4446.0,1,1,1,Cloud Operations,0,0
CLD-0020,AWS,Lambda,Test,us-east-1,345.41,4144.92,1,1,1,Cloud Operations,0,0
CLD-0021,AZURE,Azure VM,Production,eastus,830.14,9961.68,1,1,1,Data Team,0,1
CLD-0022,AWS,RDS,Production,us-east-1,852.78,10233.36,1,1,1,Application Team,0,1
CLD-0023,AWS,RDS,Production,eastus,732.23,8786.76,1,1,1,Data Team,0,1
CLD-0024,AWS,Azure VM,Development,eastus,223.71,2684.52,0,1,1,Security,1,0
CLD-0025,AZURE,RDS,Production,us-east-2,539.45,6473.4,1,1,1,Data Team,0,1
CLD-0026,AWS,S3,Production,eastus2,535.39,6424.68,1,1,1,Application Team,0,1
CLD-0027,AWS,Azure SQL,Production,us-east-1,767.28,9207.36,1,1,1,Security,0,1
CLD-0028,AZURE,Azure SQL,Production,us-east-1,657.81,7893.72,0,0,1,Cloud Operations,2,1
CLD-0029,AZURE,Function App,Production,eastus,702.91,8434.92,1,1,1,Cloud Operations,0,1
CLD-0030,AWS,S3,Test,eastus,481.43,5777.16,1,1,1,Cloud Operations,0,0
CLD-0031,AZURE,Azure SQL,Production,eastus2,825.86,9910.32,1,1,1,Data Team,0,1
CLD-0032,AZURE,Azure VM,Test,eastus2,502.49,6029.88,1,1,1,Security,0,1
CLD-0033,AWS,Azure SQL,Production,us-east-1,131.78,1581.36,1,1,1,Cloud Operations,0,0
CLD-0034,AWS,Function App,Production,eastus2,337.22,4046.64,1,1,1,Cloud Operations,0,0
CLD-0035,AWS,Lambda,Development,eastus2,110.51,1326.12,1,1,1,Cloud Operations,0,0
CLD-0036,AZURE,EC2,Development,us-east-2,387.23,4646.76,1,1,1,Cloud Operations,0,0
CLD-0037,AWS,RDS,Development,eastus,632.59,7591.08,0,1,1,Application Team,1,1
CLD-0038,AZURE,EC2,Production,eastus,279.73,3356.76,1,1,1,Cloud Operations,0,0
