dataset,raw_rows,processed_rows,duplicates_removed,invalid_rows,status
service_tickets_processed.csv,1200,1200,0,0,PASS
infrastructure_metrics_processed.csv,5000,5000,0,0,PASS
backup_jobs_processed.csv,1080,1080,0,0,PASS
vulnerability_findings_processed.csv,600,600,0,0,PASS
patch_compliance_processed.csv,360,360,0,0,PASS
endpoint_assets_processed.csv,300,300,0,0,PASS
identity_users_processed.csv,250,250,0,0,PASS
cloud_resource_inventory_processed.csv,180,180,0,0,PASS
change_records_processed.csv,150,150,0,0,PASS
cmdb_servers_processed.csv,60,60,0,0,PASS
major_incidents_processed.csv,40,40,0,0,PASS
