asset_id,hostname,model,operating_system,department,assigned_user_id,is_assigned,status,last_inventory_date,replacement_cost_usd,lifecycle_state
AST-0001,NSS-WKS-001,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0084,1,Repair,2026-01-07,1129.28,Needs Attention
AST-0002,NSS-WKS-002,HP EliteBook 840,Windows 11 Enterprise,Hr,USR-0088,1,Repair,2026-02-13,1438.49,Needs Attention
AST-0003,NSS-WKS-003,HP EliteBook 840,Windows 11 Enterprise,Hr,USR-0118,1,Spare,2026-04-05,669.78,Available
AST-0004,NSS-WKS-004,Dell Latitude 5440,Windows 11 Enterprise,It,USR-0229,1,Active,2026-05-13,837.02,In Service
AST-0005,NSS-WKS-005,HP EliteBook 840,Windows 11 Enterprise,Hr,USR-0079,1,Spare,2026-03-21,1159.1,Available
AST-0006,NSS-WKS-006,HP EliteBook 840,Windows 11 Enterprise,Hr,USR-0245,1,Spare,2026-02-13,700.44,Available
AST-0007,NSS-WKS-007,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0197,1,Active,2026-02-05,662.21,In Service
AST-0008,NSS-WKS-008,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0095,1,Active,2026-01-10,1491.77,In Service
AST-0009,NSS-WKS-009,Dell Latitude 5440,Windows 11 Enterprise,It,USR-0028,1,Spare,2026-02-02,985.54,Available
AST-0010,NSS-WKS-010,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0057,1,Repair,2026-07-25,1316.0,Needs Attention
AST-0011,NSS-WKS-011,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0124,1,Spare,2026-03-19,1333.96,Available
AST-0012,NSS-WKS-012,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0163,1,Active,2026-04-24,950.97,In Service
AST-0013,NSS-WKS-013,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0099,1,Repair,2026-05-03,1501.56,Needs Attention
AST-0014,NSS-WKS-014,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0099,1,Spare,2026-03-15,605.11,Available
AST-0015,NSS-WKS-015,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0219,1,Repair,2026-07-12,686.66,Needs Attention
AST-0016,NSS-WKS-016,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0134,1,Active,2026-02-08,816.58,In Service
AST-0017,NSS-WKS-017,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,,0,Repair,2026-01-04,1062.14,Needs Attention
AST-0018,NSS-WKS-018,Dell Latitude 5440,Windows 11 Enterprise,It,USR-0211,1,Spare,2026-07-04,1243.09,Available
AST-0019,NSS-WKS-019,Dell Latitude 5440,Windows 11 Enterprise,Sales,,0,Spare,2026-03-18,1073.38,Available
AST-0020,NSS-WKS-020,HP EliteBook 840,Windows 11 Enterprise,It,USR-0120,1,Active,2026-05-05,898.19,In Service
AST-0021,NSS-WKS-021,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0175,1,Repair,2026-03-19,1607.86,Needs Attention
AST-0022,NSS-WKS-022,HP EliteBook 840,Windows 11 Enterprise,It,USR-0212,1,Spare,2026-04-13,642.74,Available
AST-0023,NSS-WKS-023,HP EliteBook 840,Windows 11 Enterprise,It,,0,Spare,2026-02-10,622.45,Available
AST-0024,NSS-WKS-024,Lenovo ThinkPad T14,Windows 11 Enterprise,Hr,USR-0249,1,Repair,2026-06-24,826.76,Needs Attention
AST-0025,NSS-WKS-025,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0164,1,Spare,2026-05-30,1467.91,Available
AST-0026,NSS-WKS-026,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0194,1,Repair,2026-02-28,1544.34,Needs Attention
AST-0027,NSS-WKS-027,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0073,1,Spare,2026-05-14,771.5,Available
AST-0028,NSS-WKS-028,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0213,1,Active,2026-03-13,1225.66,In Service
AST-0029,NSS-WKS-029,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0142,1,Spare,2026-05-13,693.54,Available
AST-0030,NSS-WKS-030,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0147,1,Repair,2026-05-06,1360.62,Needs Attention
AST-0031,NSS-WKS-031,Lenovo ThinkPad T14,Windows 11 Enterprise,It,USR-0156,1,Spare,2026-06-12,910.42,Available
AST-0032,NSS-WKS-032,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0169,1,Spare,2026-07-19,1447.03,Available
AST-0033,NSS-WKS-033,Lenovo ThinkPad T14,Windows 11 Enterprise,Hr,USR-0132,1,Repair,2026-05-13,810.01,Needs Attention
AST-0034,NSS-WKS-034,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0104,1,Repair,2026-05-21,1635.12,Needs Attention
AST-0035,NSS-WKS-035,HP EliteBook 840,Windows 11 Enterprise,Hr,USR-0213,1,Spare,2026-02-12,954.02,Available
AST-0036,NSS-WKS-036,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0137,1,Spare,2026-06-21,1284.97,Available
AST-0037,NSS-WKS-037,Lenovo ThinkPad T14,Windows 11 Enterprise,Hr,USR-0235,1,Active,2026-07-19,1500.68,In Service
