timestamp,metric_date,metric_month,hostname,platform,role,cpu_percent,memory_used_percent,memory_available_percent,disk_used_percent,disk_free_percent,availability_percent,active_alerts,health_status
2026-02-03T20:00,2026-02-03,2026-02,NSS-DC01,Windows Server 2022,Domain Controller,2.0,49.51,50.49,77.75,22.25,99.8891,0,Healthy
2026-04-17T17:00,2026-04-17,2026-04,NSS-DC02,Windows Server 2022,Domain Controller,17.6,42.18,57.82,66.54,33.46,99.9689,0,Healthy
2026-04-26T09:00,2026-04-26,2026-04,NSS-LINUX-DB01,Rocky Linux 9,Database Server,15.55,69.69,30.31,58.47,41.53,99.7632,0,Healthy
2026-02-04T04:00,2026-02-04,2026-02,NSS-LINUX-DB01,Rocky Linux 9,Database Server,21.49,54.81,45.19,84.87,15.13,99.9052,0,Warning
2026-05-07T14:00,2026-05-07,2026-05,NSS-FILE01,Windows Server 2022,File Server,40.78,73.98,26.02,69.49,30.51,99.7829,0,Healthy
2026-05-26T06:00,2026-05-26,2026-05,NSS-LINUX-DB01,Rocky Linux 9,Database Server,2.0,45.01,54.99,33.96,66.04,99.8078,0,Healthy
2026-07-23T20:00,2026-07-23,2026-07,NSS-DC02,Windows Server 2022,Domain Controller,36.99,54.24,45.76,40.14,59.86,99.9406,0,Healthy
2026-06-12T14:00,2026-06-12,2026-06,NSS-DC01,Windows Server 2022,Domain Controller,22.29,44.82,55.18,44.67,55.33,99.8503,0,Healthy
2026-02-16T15:00,2026-02-16,2026-02,NSS-APP01,Windows Server 2022,Application Server,34.03,43.86,56.14,71.21,28.79,99.9439,0,Healthy
2026-04-08T01:00,2026-04-08,2026-04,NSS-APP01,Windows Server 2022,Application Server,24.48,35.67,64.33,61.45,38.55,99.9747,0,Healthy
2026-06-08T02:00,2026-06-08,2026-06,NSS-LINUX-APP01,Ubuntu 24.04,Application Server,25.9,41.34,58.66,65.25,34.75,99.9017,0,Healthy
2026-04-11T17:00,2026-04-11,2026-04,NSS-DC02,Windows Server 2022,Domain Controller,17.01,56.35,43.65,60.17,39.83,99.8717,0,Healthy
2026-05-16T18:00,2026-05-16,2026-05,NSS-DC01,Windows Server 2022,Domain Controller,39.07,68.02,31.98,46.25,53.75,99.8094,0,Healthy
