snapshot_date,snapshot_month,platform,deployment_ring,assets_in_scope,compliant_assets,compliance_percent,noncompliant_assets,approved_exceptions,target_percent,target_met
2026-01-28,2026-01,Windows 11,Pilot,23,23,100.0,0,1,95.0,1
2026-01-28,2026-01,Windows 11,Production,9,9,100.0,0,2,95.0,1
2026-01-28,2026-01,Windows 11,Critical,31,30,96.8,1,1,95.0,1
2026-01-28,2026-01,Windows Server 2022,Pilot,17,16,94.1,1,0,95.0,0
2026-01-28,2026-01,Windows Server 2022,Production,15,14,93.3,1,2,95.0,0
2026-01-28,2026-01,Windows Server 2022,Critical,16,15,93.8,1,2,95.0,0
2026-01-28,2026-01,Ubuntu 24.04,Pilot,31,30,96.8,1,2,95.0,1
2026-01-28,2026-01,Ubuntu 24.04,Production,28,26,92.9,2,0,95.0,0
2026-01-28,2026-01,Ubuntu 24.04,Critical,13,13,100.0,0,2,95.0,1
2026-01-28,2026-01,Rocky Linux 9,Pilot,32,30,93.8,2,0,95.0,0
2026-01-28,2026-01,Rocky Linux 9,Production,14,14,100.0,0,2,95.0,1
2026-01-28,2026-01,Rocky Linux 9,Critical,8,7,87.5,1,2,95.0,0
2026-02-28,2026-02,Windows 11,Pilot,47,44,93.6,3,0,95.0,0
2026-02-28,2026-02,Windows 11,Production,21,21,100.0,0,2,95.0,1
2026-02-28,2026-02,Windows 11,Critical,25,24,96.0,1,0,95.0,1
2026-02-28,2026-02,Windows Server 2022,Pilot,42,42,100.0,0,0,95.0,1
2026-02-28,2026-02,Windows Server 2022,Production,57,53,93.0,4,2,95.0,0
2026-02-28,2026-02,Windows Server 2022,Critical,14,13,92.9,1,2,95.0,0
2026-02-28,2026-02,Ubuntu 24.04,Pilot,15,14,93.3,1,0,95.0,0
2026-02-28,2026-02,Ubuntu 24.04,Production,42,39,92.9,3,2,95.0,0
2026-02-28,2026-02,Ubuntu 24.04,Critical,45,42,93.3,3,0,95.0,0
2026-02-28,2026-02,Rocky Linux 9,Pilot,54,50,92.6,4,2,95.0,0
2026-02-28,2026-02,Rocky Linux 9,Production,60,57,95.0,3,0,95.0,1
2026-02-28,2026-02,Rocky Linux 9,Critical,24,24,100.0,0,2,95.0,1
2026-03-28,2026-03,Windows 11,Pilot,20,19,95.0,1,2,95.0,1
2026-03-28,2026-03,Windows 11,Production,65,63,96.9,2,2,95.0,1
2026-03-28,2026-03,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-03-28,2026-03,Windows Server 2022,Pilot,32,31,96.9,1,0,95.0,1
2026-03-28,2026-03,Windows Server 2022,Production,9,8,88.9,1,1,95.0,0
2026-03-28,2026-03,Windows Server 2022,Critical,48,45,93.8,3,2,95.0,0
2026-03-28,2026-03,Ubuntu 24.04,Pilot,11,11,100.0,0,1,95.0,1
2026-03-28,2026-03,Ubuntu 24.04,Production,25,24,96.0,1,1,95.0,1
2026-03-28,2026-03,Ubuntu 24.04,Critical,45,45,100.0,0,1,95.0,1
2026-03-28,2026-03,Rocky Linux 9,Pilot,62,59,95.2,3,1,95.0,1
2026-03-28,2026-03,Rocky Linux 9,Production,24,24,100.0,0,2,95.0,1
2026-03-28,2026-03,Rocky Linux 9,Critical,50,46,92.0,4,0,95.0,0
2026-04-28,2026-04,Windows 11,Pilot,31,29,93.5,2,0,95.0,0
2026-04-28,2026-04,Windows 11,Production,65,62,95.4,3,0,95.0,1
2026-04-28,2026-04,Windows 11,Critical,56,52,92.9,4,1,95.0,0
2026-04-28,2026-04,Windows Server 2022,Pilot,41,40,97.6,1,2,95.0,1
2026-04-28,2026-04,Windows Server 2022,Production,15,15,100.0,0,0,95.0,1
2026-04-28,2026-04,Windows Server 2022,Critical,48,47,97.9,1,0,95.0,1
2026-04-28,2026-04,Ubuntu 24.04,Pilot,17,17,100.0,0,0,95.0,1
2026-04-28,2026-04,Ubuntu 24.04,Production,11,11,100.0,0,1,95.0,1
2026-04-28,2026-04,Ubuntu 24.04,Critical,49,49,100.0,0,0,95.0,1
2026-04-28,2026-04,Rocky Linux 9,Pilot,44,43,97.7,1,2,95.0,1
2026-04-28,2026-04,Rocky Linux 9,Production,61,56,91.8,5,0,95.0,0
2026-04-28,2026-04,Rocky Linux 9,Critical,40,38,95.0,2,0,95.0,1
2026-05-28,2026-05,Windows 11,Pilot,20,20,100.0,0,0,95.0,1
2026-05-28,2026-05,Windows 11,Production,13,12,92.3,1,0,95.0,0
2026-05-28,2026-05,Windows 11,Critical,16,16,100.0,0,0,95.0,1
2026-05-28,2026-05,Windows Server 2022,Pilot,35,34,97.1,1,1,95.0,1
2026-05-28,2026-05,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-05-28,2026-05,Windows Server 2022,Critical,59,59,100.0,0,1,95.0,1
2026-05-28,2026-05,Ubuntu 24.04,Pilot,21,21,100.0,0,1,95.0,1
2026-05-28,2026-05,Ubuntu 24.04,Production,65,60,92.3,5,1,95.0,0
2026-05-28,2026-05,Ubuntu 24.04,Critical,47,44,93.6,3,1,95.0,0
2026-05-28,2026-05,Rocky Linux 9,Pilot,38,38,100.0,0,1,95.0,1
2026-05-28,2026-05,Rocky Linux 9,Production,58,54,93.1,4,1,95.0,0
2026-05-28,2026-05,Rocky Linux 9,Critical,43,40,93.0,3,0,95.0,0
2026-06-28,2026-06,Windows 11,Pilot,50,46,92.0,4,0,95.0,0
2026-06-28,2026-06,Windows 11,Production,35,35,100.0,0,2,95.0,1
2026-06-28,2026-06,Windows 11,Critical,42,42,100.0,0,1,95.0,1
2026-06-28,2026-06,Windows Server 2022,Pilot,62,58,93.5,4,1,95.0,0
2026-06-28,2026-06,Windows Server 2022,Production,15,15,100.0,0,0,95.0,1
2026-06-28,2026-06,Windows Server 2022,Critical,30,28,93.3,2,1,95.0,0
2026-06-28,2026-06,Ubuntu 24.04,Pilot,51,48,94.1,3,0,95.0,0
2026-06-28,2026-06,Ubuntu 24.04,Production,24,23,95.8,1,0,95.0,1
2026-06-28,2026-06,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-06-28,2026-06,Rocky Linux 9,Pilot,24,22,91.7,2,2,95.0,0
2026-06-28,2026-06,Rocky Linux 9,Production,59,56,94.9,3,2,95.0,0
2026-06-28,2026-06,Rocky Linux 9,Critical,65,62,95.4,3,2,95.0,1
2026-04-28,2026-04,Ubuntu 24.04,Pilot,21,21,100.0,0,1,95.0,1
2026-02-27,2026-02,Windows 11,Pilot,50,46,92.0,4,0,95.0,0
2026-04-28,2026-04,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-05-21,2026-05,Windows Server 2022,Critical,48,45,93.8,3,2,95.0,0
2026-04-23,2026-04,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-03-25,2026-03,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-05-25,2026-05,Rocky Linux 9,Critical,43,40,93.0,3,0,95.0,0
2026-04-26,2026-04,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-03-21,2026-03,Rocky Linux 9,Pilot,62,59,95.2,3,1,95.0,1
2026-07-20,2026-07,Windows 11,Production,13,12,92.3,1,0,95.0,0
2026-01-21,2026-01,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-06-20,2026-06,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-04-26,2026-04,Windows Server 2022,Pilot,41,40,97.6,1,2,95.0,1
2026-06-27,2026-06,Rocky Linux 9,Critical,40,38,95.0,2,0,95.0,1
2026-04-23,2026-04,Ubuntu 24.04,Critical,47,44,93.6,3,1,95.0,0
2026-04-27,2026-04,Rocky Linux 9,Production,14,14,100.0,0,2,95.0,1
2026-03-22,2026-03,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-06-26,2026-06,Rocky Linux 9,Pilot,32,30,93.8,2,0,95.0,0
2026-07-21,2026-07,Windows Server 2022,Critical,48,47,97.9,1,0,95.0,1
2026-07-28,2026-07,Rocky Linux 9,Critical,43,40,93.0,3,0,95.0,0
2026-03-28,2026-03,Ubuntu 24.04,Critical,47,44,93.6,3,1,95.0,0
2026-01-21,2026-01,Ubuntu 24.04,Pilot,15,14,93.3,1,0,95.0,0
2026-07-21,2026-07,Ubuntu 24.04,Critical,47,44,93.6,3,1,95.0,0
2026-07-28,2026-07,Windows Server 2022,Critical,48,47,97.9,1,0,95.0,1
2026-03-22,2026-03,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-01-25,2026-01,Rocky Linux 9,Production,24,24,100.0,0,2,95.0,1
2026-07-23,2026-07,Windows Server 2022,Critical,48,45,93.8,3,2,95.0,0
2026-04-25,2026-04,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-07-21,2026-07,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-07-21,2026-07,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-07-25,2026-07,Windows 11,Production,9,9,100.0,0,2,95.0,1
2026-07-28,2026-07,Ubuntu 24.04,Critical,49,49,100.0,0,0,95.0,1
2026-02-20,2026-02,Rocky Linux 9,Pilot,54,50,92.6,4,2,95.0,0
2026-03-22,2026-03,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-07-26,2026-07,Windows Server 2022,Critical,48,45,93.8,3,2,95.0,0
2026-02-24,2026-02,Ubuntu 24.04,Production,65,60,92.3,5,1,95.0,0
2026-04-25,2026-04,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-07-27,2026-07,Windows 11,Pilot,50,46,92.0,4,0,95.0,0
2026-01-26,2026-01,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-05-22,2026-05,Rocky Linux 9,Pilot,62,59,95.2,3,1,95.0,1
2026-02-28,2026-02,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-05-23,2026-05,Ubuntu 24.04,Production,28,26,92.9,2,0,95.0,0
2026-06-24,2026-06,Windows Server 2022,Production,15,15,100.0,0,0,95.0,1
2026-06-24,2026-06,Rocky Linux 9,Pilot,44,43,97.7,1,2,95.0,1
2026-04-22,2026-04,Windows Server 2022,Production,15,15,100.0,0,0,95.0,1
2026-07-23,2026-07,Ubuntu 24.04,Production,25,24,96.0,1,1,95.0,1
2026-06-23,2026-06,Windows 11,Production,13,12,92.3,1,0,95.0,0
2026-01-22,2026-01,Windows Server 2022,Production,57,53,93.0,4,2,95.0,0
