job_id,workload,started_at,duration_minutes,result,data_size_gb,restore_tested,repository
BKP-5000,PKI,2026-06-22T19:00,77,Success,405,0,AWS Backup Vault
BKP-5001,File Services,2026-03-04T09:00,76,Success,728,0,SaaS Backup
BKP-5002,PKI,2026-06-01T13:00,55,Success,416,0,Immutable Repository
BKP-5003,File Services,2026-03-29T13:00,23,Success,637,0,AWS Backup Vault
BKP-5004,Windows Servers,2026-03-22T22:00,104,Success,637,0,SaaS Backup
BKP-5005,File Services,2026-06-12T09:00,56,Success,144,0,Primary Repository
BKP-5006,Windows Servers,2026-02-01T09:00,131,Success,740,0,AWS Backup Vault
BKP-5007,Microsoft 365,2026-07-29T15:00,25,Success,541,0,SaaS Backup
BKP-5008,File Services,2026-07-14T03:00,139,Success,704,0,SaaS Backup
BKP-5009,Microsoft 365,2026-03-09T05:00,72,Success,546,0,Primary Repository
BKP-5010,Windows Servers,2026-07-11T20:00,55,Success,725,0,Immutable Repository
BKP-5011,Microsoft 365,2026-06-22T20:00,48,Success,191,1,Primary Repository
BKP-5012,Active Directory,2026-07-20T21:00,61,Success,682,1,AWS Backup Vault
BKP-5013,Linux Servers,2026-06-04T12:00,121,Success,165,0,SaaS Backup
BKP-5014,Microsoft 365,2026-02-10T23:00,160,Success,158,0,Primary Repository
BKP-5015,Active Directory,2026-06-04T09:00,25,Success,504,0,AWS Backup Vault
BKP-5016,PKI,2026-03-28T00:00,51,Success,660,0,SaaS Backup
BKP-5017,PKI,2026-03-18T17:00,91,Success,605,0,AWS Backup Vault
BKP-5018,PKI,2026-04-25T03:00,107,Success,642,0,SaaS Backup
BKP-5019,Windows Servers,2026-02-02T17:00,45,Success,832,0,AWS Backup Vault
BKP-5020,Windows Servers,2026-01-29T07:00,102,Success,191,0,SaaS Backup
BKP-5021,AWS RDS,2026-04-17T07:00,29,Success,542,0,Immutable Repository
BKP-5022,AWS RDS,2026-01-13T10:00,153,Success,575,0,AWS Backup Vault
BKP-5023,Microsoft 365,2026-03-09T15:00,156,Success,343,0,Primary Repository
BKP-5024,PKI,2026-04-07T18:00,140,Success,660,0,Primary Repository
BKP-5025,AWS RDS,2026-03-25T16:00,41,Success,381,0,SaaS Backup
BKP-5026,Microsoft 365,2026-05-26T16:00,107,Success,623,0,Immutable Repository
BKP-5027,PKI,2026-07-20T03:00,72,Success,117,1,AWS Backup Vault
BKP-5028,Linux Servers,2026-03-17T10:00,105,Success,44,0,Primary Repository
BKP-5029,AWS RDS,2026-06-28T12:00,129,Success,377,0,Immutable Repository
BKP-5030,Linux Servers,2026-01-21T16:00,84,Success,223,0,Primary Repository
BKP-5031,AWS RDS,2026-01-06T01:00,150,Success,730,0,AWS Backup Vault
BKP-5032,PKI,2026-05-21T02:00,133,Success,805,0,SaaS Backup
BKP-5033,Active Directory,2026-03-23T08:00,133,Success,585,0,SaaS Backup
BKP-5034,Microsoft 365,2026-06-30T19:00,74,Success,249,0,Immutable Repository
BKP-5035,Linux Servers,2026-02-15T20:00,57,Success,70,0,SaaS Backup
