change_id,change_date,change_type,risk,technology,result,rollback_required,incident_created,owner_team
CHG-2001,2026-06-01,Standard,Medium,Linux,Success,0,0,Security
CHG-2002,2026-02-25,Standard,Low,Security,Success,0,0,Identity
CHG-2003,2026-06-02,Standard,Low,Microsoft 365,Success,0,0,Identity
CHG-2004,2026-06-30,Normal,Medium,Windows,Success,0,0,Network
CHG-2005,2026-06-03,Standard,High,Windows,Success,0,0,Network
CHG-2006,2026-03-27,Normal,Medium,Network,Success,0,0,Infrastructure
CHG-2007,2026-02-02,Standard,High,Network,Success,0,0,Network
CHG-2008,2026-03-25,Standard,Medium,Windows,Success,0,0,Security
CHG-2009,2026-02-17,Normal,Medium,Windows,Success,0,0,Cloud Operations
CHG-2010,2026-05-01,Standard,Medium,Microsoft 365,Success,0,0,Identity
CHG-2011,2026-06-19,Normal,Low,Security,Success,0,0,Security
CHG-2012,2026-07-16,Standard,Medium,Network,Success,0,0,Cloud Operations
CHG-2013,2026-02-07,Standard,High,Security,Success,0,0,Identity
CHG-2014,2026-05-09,Standard,Low,Network,Success,0,0,Cloud Operations
CHG-2015,2026-06-13,Standard,High,Security,Success,0,0,Network
CHG-2016,2026-04-03,Normal,High,Security,Success,0,0,Security
CHG-2017,2026-03-02,Standard,Medium,Windows,Success,0,0,Identity
CHG-2018,2026-04-10,Standard,Low,Network,Success,0,0,Security
CHG-2019,2026-07-04,Standard,Medium,Network,Success,0,0,Infrastructure
CHG-2020,2026-03-25,Normal,Low,AWS,Success,0,0,Network
CHG-2021,2026-05-11,Normal,Medium,Windows,Success,0,0,Cloud Operations
CHG-2022,2026-03-28,Normal,High,Security,Success,0,0,Infrastructure
CHG-2023,2026-03-04,Standard,Low,Security,Success,0,0,Identity
CHG-2024,2026-05-23,Standard,Low,Security,Success,0,0,Network
CHG-2025,2026-04-02,Standard,High,Network,Success,0,0,Infrastructure
CHG-2026,2026-02-19,Normal,High,Network,Success,0,0,Cloud Operations
CHG-2027,2026-06-02,Normal,Medium,Security,Success,0,0,Identity
CHG-2028,2026-04-26,Standard,Medium,Security,Success,0,0,Network
CHG-2029,2026-04-30,Normal,Low,Linux,Success,0,0,Cloud Operations
CHG-2030,2026-03-28,Normal,Low,Linux,Success,0,0,Identity
CHG-2031,2026-02-03,Normal,Medium,AWS,Success,0,0,Cloud Operations
CHG-2032,2026-06-06,Standard,Medium,Network,Success,0,0,Infrastructure
CHG-2033,2026-03-10,Emergency,Medium,Network,Success,0,0,Network
CHG-2034,2026-07-28,Standard,Low,Microsoft 365,Success,0,0,Identity
CHG-2035,2026-01-22,Normal,Low,AWS,Success,0,0,Network
CHG-2036,2026-04-25,Normal,Low,Windows,Success,0,0,Security
CHG-2037,2026-04-08,Normal,Low,Security,Success,0,0,Network
CHG-2038,2026-01-20,Standard,High,Security,Success,0,0,Network
CHG-2039,2026-04-03,Normal,Medium,Linux,Success,0,0,Cloud Operations
CHG-2040,2026-05-27,Normal,Medium,Windows,Success,0,0,Cloud Operations
CHG-2041,2026-06-18,Normal,Low,Security,Success,0,0,Identity
CHG-2042,2026-01-04,Emergency,High,AWS,Success,0,0,Cloud Operations
CHG-2043,2026-05-11,Standard,Medium,Windows,Success,0,0,Network
CHG-2044,2026-03-08,Standard,High,AWS,Success,0,0,Infrastructure
CHG-2045,2026-01-07,Normal,Medium,Microsoft 365,Success,0,0,Security
CHG-2046,2026-03-05,Standard,Low,AWS,Success,0,0,Security
CHG-2047,2026-07-28,Normal,Low,Windows,Success,0,0,Network
CHG-2048,2026-05-05,Normal,Medium,Network,Success,0,0,Security
CHG-2049,2026-05-02,Emergency,Medium,Network,Failed,1,0,Network
CHG-2050,2026-05-21,Normal,Low,Network,Failed,1,0,Infrastructure
CHG-2051,2026-06-16,Normal,Low,Network,Success,0,0,Identity
CHG-2052,2026-04-28,Standard,Medium,Microsoft 365,Failed,1,1,Security
CHG-2053,2026-07-18,Normal,Low,Network,Success,0,0,Cloud Operations
CHG-2054,2026-06-20,Standard,Medium,Microsoft 365,Success,0,0,Security
CHG-2055,2026-07-06,Standard,Low,Windows,Success,0,0,Network
CHG-2056,2026-02-14,Normal,High,AWS,Failed,1,1,Cloud Operations
CHG-2057,2026-04-19,Normal,Low,Security,Success,0,0,Identity
CHG-2058,2026-03-13,Emergency,Medium,Windows,Failed,1,0,Security
CHG-2059,2026-01-26,Normal,High,Security,Success,0,0,Network
CHG-2060,2026-07-20,Standard,Medium,AWS,Success,0,0,Cloud Operations
CHG-2061,2026-06-29,Normal,Medium,Microsoft 365,Success,0,0,Network
CHG-2062,2026-05-10,Emergency,Low,Microsoft 365,Success,0,0,Network
CHG-2063,2026-06-30,Standard,Medium,Security,Success,0,0,Security
CHG-2064,2026-03-07,Standard,Low,AWS,Success,0,0,Infrastructure
CHG-2065,2026-06-30,Normal,High,Network,Success,0,0,Identity
CHG-2066,2026-01-19,Normal,High,AWS,Success,0,0,Network
CHG-2067,2026-05-14,Normal,High,Windows,Success,0,0,Cloud Operations
CHG-2068,2026-05-01,Normal,Medium,Microsoft 365,Success,0,0,Cloud Operations
CHG-2069,2026-02-13,Standard,High,Security,Success,0,0,Infrastructure
CHG-2070,2026-02-07,Standard,Low,AWS,Success,0,0,Cloud Operations
CHG-2071,2026-02-18,Standard,Low,Windows,Success,0,0,Identity
CHG-2072,2026-04-18,Standard,Medium,Linux,Success,0,0,Security
CHG-2073,2026-06-15,Normal,Low,Security,Success,0,0,Cloud Operations
CHG-2074,2026-07-13,Normal,Low,Microsoft 365,Success,0,0,Cloud Operations
CHG-2075,2026-02-13,Standard,High,Microsoft 365,Success,0,0,Identity
CHG-2076,2026-02-21,Standard,High,AWS,Failed,1,1,Infrastructure
CHG-2077,2026-03-10,Normal,Low,Microsoft 365,Success,0,0,Identity
CHG-2078,2026-06-02,Normal,Medium,Security,Success,0,0,Infrastructure
CHG-2079,2026-05-27,Standard,Medium,Linux,Success,0,0,Infrastructure
CHG-2080,2026-03-13,Emergency,Medium,Network,Success,0,0,Cloud Operations
CHG-2081,2026-01-23,Normal,Low,Linux,Success,0,0,Network
CHG-2082,2026-01-12,Normal,High,Microsoft 365,Success,0,0,Infrastructure
CHG-2083,2026-07-07,Standard,High,Microsoft 365,Success,0,0,Cloud Operations
CHG-2084,2026-02-27,Normal,Medium,Microsoft 365,Success,0,0,Network
CHG-2085,2026-01-27,Normal,High,Microsoft 365,Success,0,0,Identity
CHG-2086,2026-06-03,Normal,Low,AWS,Success,0,0,Identity
CHG-2087,2026-07-05,Standard,Low,Microsoft 365,Success,0,0,Infrastructure
CHG-2088,2026-03-10,Normal,Medium,AWS,Success,0,0,Identity
CHG-2089,2026-07-01,Normal,Low,Network,Success,0,0,Security
CHG-2090,2026-02-27,Normal,Medium,AWS,Success,0,0,Identity
CHG-2091,2026-05-06,Standard,Medium,Network,Success,0,0,Security
CHG-2092,2026-06-25,Normal,High,Security,Success,0,0,Network
CHG-2093,2026-03-29,Standard,Medium,Network,Success,0,0,Cloud Operations
CHG-2094,2026-02-20,Normal,Medium,Network,Success,0,0,Infrastructure
CHG-2095,2026-06-19,Normal,High,Windows,Success,0,0,Cloud Operations
CHG-2096,2026-07-19,Standard,High,Linux,Success,0,0,Cloud Operations
CHG-2097,2026-03-02,Emergency,Medium,Network,Success,0,0,Cloud Operations
CHG-2098,2026-06-19,Normal,Medium,Windows,Success,0,0,Cloud Operations
CHG-2099,2026-04-12,Normal,Low,AWS,Success,0,0,Cloud Operations
CHG-2100,2026-04-12,Normal,High,Security,Success,0,0,Identity
CHG-2101,2026-05-15,Standard,High,Windows,Success,0,0,Security
CHG-2102,2026-01-10,Standard,Medium,Network,Success,0,0,Identity
CHG-2103,2026-02-28,Normal,Medium,AWS,Success,0,0,Identity
CHG-2104,2026-02-05,Standard,Medium,Linux,Success,0,0,Cloud Operations
CHG-2105,2026-03-22,Standard,Low,Security,Success,0,0,Infrastructure
CHG-2106,2026-02-10,Normal,High,Linux,Success,0,0,Infrastructure
CHG-2107,2026-01-14,Normal,Medium,Windows,Success,0,0,Security
CHG-2108,2026-03-13,Standard,Low,Linux,Success,0,0,Cloud Operations
CHG-2109,2026-01-20,Standard,High,Microsoft 365,Success,0,0,Network
CHG-2110,2026-05-05,Normal,High,Microsoft 365,Success,0,0,Identity
CHG-2111,2026-05-07,Normal,High,Linux,Success,0,0,Security
CHG-2112,2026-03-27,Normal,Low,Security,Success,0,0,Network
CHG-2113,2026-03-20,Standard,Low,Network,Success,0,0,Cloud Operations
CHG-2114,2026-06-18,Standard,High,Linux,Success,0,0,Security
CHG-2115,2026-01-14,Standard,Low,Linux,Success,0,0,Identity
CHG-2116,2026-07-10,Normal,High,AWS,Success,0,0,Infrastructure
CHG-2117,2026-01-13,Standard,Low,AWS,Success,0,0,Security
CHG-2118,2026-06-25,Standard,Medium,Microsoft 365,Success,0,0,Identity
CHG-2119,2026-02-05,Emergency,Medium,AWS,Failed,1,1,Identity
CHG-2120,2026-07-08,Normal,Low,Security,Success,0,0,Network
CHG-2121,2026-07-05,Normal,Medium,Network,Failed,1,0,Network
CHG-2122,2026-02-11,Normal,High,Microsoft 365,Success,0,0,Identity
CHG-2123,2026-02-05,Standard,Low,AWS,Success,0,0,Identity
CHG-2124,2026-04-25,Normal,High,Microsoft 365,Success,0,0,Security
CHG-2125,2026-03-19,Standard,Medium,Microsoft 365,Success,0,0,Cloud Operations
CHG-2126,2026-06-02,Standard,Medium,Network,Success,0,0,Network
CHG-2127,2026-06-16,Normal,Medium,Windows,Success,0,0,Infrastructure
CHG-2128,2026-02-20,Standard,Low,Windows,Success,0,0,Identity
CHG-2129,2026-07-24,Normal,Low,Network,Success,0,0,Security
CHG-2130,2026-04-09,Normal,Medium,AWS,Success,0,0,Network
CHG-2131,2026-01-02,Standard,High,Security,Success,0,0,Identity
CHG-2132,2026-01-02,Standard,High,Linux,Success,0,0,Cloud Operations
CHG-2133,2026-01-08,Standard,High,Security,Success,0,0,Network
CHG-2134,2026-01-08,Standard,Medium,AWS,Success,0,0,Infrastructure
CHG-2135,2026-05-16,Normal,High,Windows,Success,0,0,Security
CHG-2136,2026-01-24,Normal,Low,Linux,Success,0,0,Infrastructure
CHG-2137,2026-02-21,Normal,Low,AWS,Failed,1,0,Network
CHG-2138,2026-04-12,Standard,Low,Microsoft 365,Success,0,0,Cloud Operations
CHG-2139,2026-06-28,Standard,Medium,Network,Success,0,0,Cloud Operations
CHG-2140,2026-07-05,Normal,High,AWS,Success,0,0,Security
CHG-2141,2026-06-21,Standard,Medium,AWS,Success,0,0,Identity
CHG-2142,2026-03-08,Standard,Medium,Windows,Success,0,0,Cloud Operations
CHG-2143,2026-01-07,Normal,Medium,Microsoft 365,Success,0,0,Network
CHG-2144,2026-01-20,Normal,Low,Linux,Success,0,0,Cloud Operations
CHG-2145,2026-04-29,Normal,High,AWS,Success,0,0,Cloud Operations
CHG-2146,2026-04-26,Standard,High,Network,Success,0,0,Security
CHG-2147,2026-04-04,Normal,Medium,Linux,Success,0,0,Infrastructure
CHG-2148,2026-02-14,Standard,Low,AWS,Success,0,0,Security
CHG-2149,2026-07-17,Standard,Medium,Network,Success,0,0,Network
CHG-2150,2026-02-08,Normal,Medium,Security,Success,0,0,Infrastructure
