resource_id,provider,resource_type,environment,region,monthly_cost_usd,tag_compliant,monitoring_enabled,backup_enabled,owner
CLD-0001,AWS,Azure SQL,Development,eastus2,486.48,1,1,1,Application Team
CLD-0002,Azure,Azure SQL,Test,eastus2,608.78,1,1,1,Application Team
CLD-0003,Azure,S3,Development,eastus,105.72,1,1,0,Security
CLD-0004,AWS,S3,Test,us-east-1,933.07,1,1,1,Cloud Operations
CLD-0005,AWS,Lambda,Development,us-east-2,364.3,1,1,1,Cloud Operations
CLD-0006,Azure,Azure SQL,Test,eastus2,108.19,0,1,1,Application Team
CLD-0007,AWS,Azure SQL,Test,eastus2,467.95,1,1,0,Cloud Operations
CLD-0008,Azure,EC2,Development,us-east-1,297.68,1,1,1,Cloud Operations
CLD-0009,AWS,Azure VM,Development,us-east-1,441.09,1,1,1,Application Team
CLD-0010,AWS,EC2,Test,eastus2,434.38,1,1,1,Data Team
CLD-0011,Azure,Function App,Test,us-east-2,366.78,1,0,1,Cloud Operations
CLD-0012,AWS,Function App,Production,eastus,480.26,1,1,1,Security
CLD-0013,Azure,RDS,Development,eastus,819.1,1,1,1,Cloud Operations
CLD-0014,Azure,Function App,Development,us-east-1,858.84,1,0,1,Data Team
CLD-0015,Azure,EC2,Development,us-east-2,598.9,1,1,1,Data Team
CLD-0016,Azure,S3,Development,eastus,694.02,1,1,1,Cloud Operations
CLD-0017,Azure,RDS,Development,us-east-2,108.42,1,1,1,Cloud Operations
CLD-0018,AWS,Azure SQL,Development,eastus,162.71,1,1,1,Application Team
CLD-0019,Azure,Azure VM,Production,us-east-1,370.5,1,1,1,Cloud Operations
CLD-0020,AWS,Lambda,Test,us-east-1,345.41,1,1,1,Cloud Operations
CLD-0021,Azure,Azure VM,Production,eastus,830.14,1,1,1,Data Team
CLD-0022,AWS,RDS,Production,us-east-1,852.78,1,1,1,Application Team
CLD-0023,AWS,RDS,Production,eastus,732.23,1,1,1,Data Team
CLD-0024,AWS,Azure VM,Development,eastus,223.71,0,1,1,Security
CLD-0025,Azure,RDS,Production,us-east-2,539.45,1,1,1,Data Team
CLD-0026,AWS,S3,Production,eastus2,535.39,1,1,1,Application Team
CLD-0027,AWS,Azure SQL,Production,us-east-1,767.28,1,1,1,Security
CLD-0028,Azure,Azure SQL,Production,us-east-1,657.81,0,0,1,Cloud Operations
CLD-0029,Azure,Function App,Production,eastus,702.91,1,1,1,Cloud Operations
CLD-0030,AWS,S3,Test,eastus,481.43,1,1,1,Cloud Operations
