asset_id,hostname,model,operating_system,department,assigned_user_id,status,last_inventory_date,replacement_cost_usd
AST-0001,NSS-WKS-001,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0084,Repair,2026-01-07,1129.28
AST-0002,NSS-WKS-002,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0088,Repair,2026-02-13,1438.49
AST-0003,NSS-WKS-003,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0118,Spare,2026-04-05,669.78
AST-0004,NSS-WKS-004,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0229,Active,2026-05-13,837.02
AST-0005,NSS-WKS-005,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0079,Spare,2026-03-21,1159.1
AST-0006,NSS-WKS-006,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0245,Spare,2026-02-13,700.44
AST-0007,NSS-WKS-007,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0197,Active,2026-02-05,662.21
AST-0008,NSS-WKS-008,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0095,Active,2026-01-10,1491.77
AST-0009,NSS-WKS-009,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0028,Spare,2026-02-02,985.54
AST-0010,NSS-WKS-010,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0057,Repair,2026-07-25,1316.0
AST-0011,NSS-WKS-011,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0124,Spare,2026-03-19,1333.96
AST-0012,NSS-WKS-012,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0163,Active,2026-04-24,950.97
AST-0013,NSS-WKS-013,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0099,Repair,2026-05-03,1501.56
AST-0014,NSS-WKS-014,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0099,Spare,2026-03-15,605.11
AST-0015,NSS-WKS-015,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0219,Repair,2026-07-12,686.66
AST-0016,NSS-WKS-016,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0134,Active,2026-02-08,816.58
AST-0017,NSS-WKS-017,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,,Repair,2026-01-04,1062.14
AST-0018,NSS-WKS-018,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0211,Spare,2026-07-04,1243.09
AST-0019,NSS-WKS-019,Dell Latitude 5440,Windows 11 Enterprise,Sales,,Spare,2026-03-18,1073.38
AST-0020,NSS-WKS-020,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0120,Active,2026-05-05,898.19
AST-0021,NSS-WKS-021,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0175,Repair,2026-03-19,1607.86
AST-0022,NSS-WKS-022,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0212,Spare,2026-04-13,642.74
AST-0023,NSS-WKS-023,HP EliteBook 840,Windows 11 Enterprise,IT,,Spare,2026-02-10,622.45
AST-0024,NSS-WKS-024,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0249,Repair,2026-06-24,826.76
AST-0025,NSS-WKS-025,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0164,Spare,2026-05-30,1467.91
AST-0026,NSS-WKS-026,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0194,Repair,2026-02-28,1544.34
AST-0027,NSS-WKS-027,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0073,Spare,2026-05-14,771.5
AST-0028,NSS-WKS-028,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0213,Active,2026-03-13,1225.66
AST-0029,NSS-WKS-029,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0142,Spare,2026-05-13,693.54
AST-0030,NSS-WKS-030,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0147,Repair,2026-05-06,1360.62
AST-0031,NSS-WKS-031,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0156,Spare,2026-06-12,910.42
AST-0032,NSS-WKS-032,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0169,Spare,2026-07-19,1447.03
AST-0033,NSS-WKS-033,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0132,Repair,2026-05-13,810.01
AST-0034,NSS-WKS-034,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0104,Repair,2026-05-21,1635.12
AST-0035,NSS-WKS-035,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0213,Spare,2026-02-12,954.02
AST-0036,NSS-WKS-036,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0137,Spare,2026-06-21,1284.97
AST-0037,NSS-WKS-037,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0235,Active,2026-07-19,1500.68
AST-0038,NSS-WKS-038,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0108,Spare,2026-04-14,1139.27
AST-0039,NSS-WKS-039,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0147,Repair,2026-03-18,1237.54
AST-0040,NSS-WKS-040,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0157,Repair,2026-05-21,665.9
AST-0041,NSS-WKS-041,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0120,Spare,2026-06-07,1327.95
AST-0042,NSS-WKS-042,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0078,Spare,2026-05-01,595.11
AST-0043,NSS-WKS-043,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0013,Active,2026-01-13,1557.56
AST-0044,NSS-WKS-044,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0134,Repair,2026-01-16,618.78
AST-0045,NSS-WKS-045,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0162,Active,2026-03-13,966.91
AST-0046,NSS-WKS-046,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0120,Spare,2026-04-24,1518.38
AST-0047,NSS-WKS-047,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0215,Spare,2026-06-22,611.25
AST-0048,NSS-WKS-048,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0020,Spare,2026-06-22,1076.53
AST-0049,NSS-WKS-049,Dell Latitude 5440,Windows 11 Enterprise,HR,USR-0212,Repair,2026-04-23,1186.16
AST-0050,NSS-WKS-050,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0129,Repair,2026-03-01,1028.88
AST-0051,NSS-WKS-051,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0198,Spare,2026-02-20,868.08
AST-0052,NSS-WKS-052,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0025,Repair,2026-02-21,848.56
AST-0053,NSS-WKS-053,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0033,Repair,2026-02-09,1385.3
AST-0054,NSS-WKS-054,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0077,Repair,2026-06-14,620.24
AST-0055,NSS-WKS-055,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0163,Active,2026-05-02,1477.12
AST-0056,NSS-WKS-056,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0064,Active,2026-02-20,1364.4
AST-0057,NSS-WKS-057,Dell Latitude 5440,Windows 11 Enterprise,HR,USR-0175,Active,2026-01-02,1227.0
AST-0058,NSS-WKS-058,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0236,Repair,2026-01-20,1619.03
AST-0059,NSS-WKS-059,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0157,Spare,2026-01-28,1439.93
AST-0060,NSS-WKS-060,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0177,Active,2026-05-29,863.4
AST-0061,NSS-WKS-061,HP EliteBook 840,Windows 11 Enterprise,Finance,,Repair,2026-07-17,1586.84
AST-0062,NSS-WKS-062,HP EliteBook 840,Windows 11 Enterprise,Finance,,Spare,2026-06-26,1549.15
AST-0063,NSS-WKS-063,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0119,Spare,2026-06-03,1009.99
AST-0064,NSS-WKS-064,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0043,Spare,2026-01-07,679.98
AST-0065,NSS-WKS-065,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0060,Spare,2026-03-19,1010.19
AST-0066,NSS-WKS-066,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0241,Spare,2026-02-12,799.34
AST-0067,NSS-WKS-067,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0101,Active,2026-07-26,1243.74
AST-0068,NSS-WKS-068,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0230,Repair,2026-04-19,1461.17
AST-0069,NSS-WKS-069,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0114,Repair,2026-06-21,1370.07
AST-0070,NSS-WKS-070,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0037,Spare,2026-05-28,1358.36
AST-0071,NSS-WKS-071,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0205,Spare,2026-04-19,892.05
AST-0072,NSS-WKS-072,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0224,Spare,2026-05-09,1074.11
AST-0073,NSS-WKS-073,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0135,Repair,2026-05-24,727.72
AST-0074,NSS-WKS-074,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0097,Repair,2026-05-12,936.97
AST-0075,NSS-WKS-075,HP EliteBook 840,Windows 11 Enterprise,Finance,USR-0163,Active,2026-06-27,998.41
AST-0076,NSS-WKS-076,Dell Latitude 5440,Windows 11 Enterprise,Finance,,Spare,2026-06-16,1572.32
AST-0077,NSS-WKS-077,Dell Latitude 5440,Windows 11 Enterprise,Finance,,Repair,2026-05-01,1583.58
AST-0078,NSS-WKS-078,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0137,Repair,2026-02-17,1123.41
AST-0079,NSS-WKS-079,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0174,Active,2026-04-28,1513.43
AST-0080,NSS-WKS-080,HP EliteBook 840,Windows 11 Enterprise,IT,,Active,2026-03-31,1641.99
AST-0081,NSS-WKS-081,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0066,Active,2026-05-22,894.42
AST-0082,NSS-WKS-082,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0052,Active,2026-01-06,1310.9
AST-0083,NSS-WKS-083,Lenovo ThinkPad T14,Windows 11 Enterprise,HR,USR-0099,Active,2026-06-07,1531.34
AST-0084,NSS-WKS-084,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0146,Repair,2026-06-29,792.24
AST-0085,NSS-WKS-085,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0093,Spare,2026-03-23,696.38
AST-0086,NSS-WKS-086,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0159,Repair,2026-04-09,1426.0
AST-0087,NSS-WKS-087,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0106,Repair,2026-05-17,1276.15
AST-0088,NSS-WKS-088,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0102,Spare,2026-02-18,1218.31
AST-0089,NSS-WKS-089,HP EliteBook 840,Windows 11 Enterprise,Executive,USR-0002,Active,2026-07-16,1186.68
AST-0090,NSS-WKS-090,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0203,Active,2026-05-31,872.58
AST-0091,NSS-WKS-091,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0123,Repair,2026-07-09,1449.04
AST-0092,NSS-WKS-092,Dell Latitude 5440,Windows 11 Enterprise,HR,USR-0046,Repair,2026-07-24,996.27
AST-0093,NSS-WKS-093,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0142,Active,2026-01-10,981.77
AST-0094,NSS-WKS-094,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0074,Active,2026-03-20,1413.08
AST-0095,NSS-WKS-095,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0045,Spare,2026-03-10,752.17
AST-0096,NSS-WKS-096,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0082,Spare,2026-07-25,694.91
AST-0097,NSS-WKS-097,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0007,Repair,2026-02-03,1519.69
AST-0098,NSS-WKS-098,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0178,Spare,2026-07-21,1201.87
AST-0099,NSS-WKS-099,Dell Latitude 5440,Windows 11 Enterprise,Finance,USR-0021,Repair,2026-03-25,1075.51
AST-0100,NSS-WKS-100,Dell Latitude 5440,Windows 11 Enterprise,Executive,,Spare,2026-04-07,1203.78
AST-0101,NSS-WKS-101,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,,Spare,2026-05-31,1095.4
AST-0102,NSS-WKS-102,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0146,Repair,2026-06-17,1599.03
AST-0103,NSS-WKS-103,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0242,Repair,2026-04-12,1268.38
AST-0104,NSS-WKS-104,Dell Latitude 5440,Windows 11 Enterprise,Security,USR-0226,Active,2026-06-24,613.93
AST-0105,NSS-WKS-105,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0124,Active,2026-07-05,614.51
AST-0106,NSS-WKS-106,Lenovo ThinkPad T14,Windows 11 Enterprise,Finance,USR-0140,Repair,2026-07-25,953.49
AST-0107,NSS-WKS-107,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0098,Active,2026-06-15,959.72
AST-0108,NSS-WKS-108,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0019,Spare,2026-04-15,1142.16
AST-0109,NSS-WKS-109,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0067,Spare,2026-07-27,1380.88
AST-0110,NSS-WKS-110,Dell Latitude 5440,Windows 11 Enterprise,HR,,Repair,2026-05-24,784.81
AST-0111,NSS-WKS-111,HP EliteBook 840,Windows 11 Enterprise,Security,,Spare,2026-06-16,860.67
AST-0112,NSS-WKS-112,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0104,Active,2026-06-07,1279.45
AST-0113,NSS-WKS-113,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0025,Spare,2026-05-04,978.03
AST-0114,NSS-WKS-114,HP EliteBook 840,Windows 11 Enterprise,Security,USR-0225,Active,2026-04-03,731.63
AST-0115,NSS-WKS-115,Dell Latitude 5440,Windows 11 Enterprise,Operations,USR-0224,Repair,2026-05-26,750.94
AST-0116,NSS-WKS-116,Lenovo ThinkPad T14,Windows 11 Enterprise,Executive,USR-0234,Repair,2026-04-06,1045.55
AST-0117,NSS-WKS-117,Dell Latitude 5440,Windows 11 Enterprise,Executive,USR-0172,Active,2026-07-24,1257.98
AST-0118,NSS-WKS-118,Dell Latitude 5440,Windows 11 Enterprise,Sales,USR-0047,Repair,2026-03-04,604.16
AST-0119,NSS-WKS-119,HP EliteBook 840,Windows 11 Enterprise,Sales,USR-0139,Repair,2026-03-17,779.31
AST-0120,NSS-WKS-120,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0167,Repair,2026-06-09,1443.84
AST-0121,NSS-WKS-121,HP EliteBook 840,Windows 11 Enterprise,HR,USR-0060,Spare,2026-05-14,618.05
AST-0122,NSS-WKS-122,Dell Latitude 5440,Windows 11 Enterprise,HR,USR-0042,Spare,2026-04-12,1367.04
AST-0123,NSS-WKS-123,Lenovo ThinkPad T14,Windows 11 Enterprise,Sales,USR-0041,Spare,2026-01-09,716.83
AST-0124,NSS-WKS-124,HP EliteBook 840,Windows 11 Enterprise,Operations,USR-0153,Active,2026-04-16,1227.43
AST-0125,NSS-WKS-125,HP EliteBook 840,Windows 11 Enterprise,IT,USR-0067,Spare,2026-05-30,1464.54
AST-0126,NSS-WKS-126,Dell Latitude 5440,Windows 11 Enterprise,IT,USR-0179,Spare,2026-04-22,991.88
AST-0127,NSS-WKS-127,Lenovo ThinkPad T14,Windows 11 Enterprise,IT,USR-0120,Repair,2026-07-03,1233.97
AST-0128,NSS-WKS-128,Lenovo ThinkPad T14,Windows 11 Enterprise,Operations,USR-0099,Repair,2026-06-04,1171.99
AST-0129,NSS-WKS-129,Lenovo ThinkPad T14,Windows 11 Enterprise,Security,USR-0122,Spare,2026-01-17,1429.87
