snapshot_date,platform,deployment_ring,assets_in_scope,compliant_assets,compliance_percent,noncompliant_assets,approved_exceptions
2026-01-28,Windows 11,Pilot,23,23,100.0,0,1
2026-01-28,Windows 11,Production,9,9,100.0,0,2
2026-01-28,Windows 11,Critical,31,30,96.8,1,1
2026-01-28,Windows Server 2022,Pilot,17,16,94.1,1,0
2026-01-28,Windows Server 2022,Production,15,14,93.3,1,2
2026-01-28,Windows Server 2022,Critical,16,15,93.8,1,2
2026-01-28,Ubuntu 24.04,Pilot,31,30,96.8,1,2
2026-01-28,Ubuntu 24.04,Production,28,26,92.9,2,0
2026-01-28,Ubuntu 24.04,Critical,13,13,100.0,0,2
2026-01-28,Rocky Linux 9,Pilot,32,30,93.8,2,0
2026-01-28,Rocky Linux 9,Production,14,14,100.0,0,2
2026-01-28,Rocky Linux 9,Critical,8,7,87.5,1,2
2026-02-28,Windows 11,Pilot,47,44,93.6,3,0
2026-02-28,Windows 11,Production,21,21,100.0,0,2
2026-02-28,Windows 11,Critical,25,24,96.0,1,0
2026-02-28,Windows Server 2022,Pilot,42,42,100.0,0,0
2026-02-28,Windows Server 2022,Production,57,53,93.0,4,2
2026-02-28,Windows Server 2022,Critical,14,13,92.9,1,2
2026-02-28,Ubuntu 24.04,Pilot,15,14,93.3,1,0
2026-02-28,Ubuntu 24.04,Production,42,39,92.9,3,2
2026-02-28,Ubuntu 24.04,Critical,45,42,93.3,3,0
2026-02-28,Rocky Linux 9,Pilot,54,50,92.6,4,2
2026-02-28,Rocky Linux 9,Production,60,57,95.0,3,0
2026-02-28,Rocky Linux 9,Critical,24,24,100.0,0,2
2026-03-28,Windows 11,Pilot,20,19,95.0,1,2
2026-03-28,Windows 11,Production,65,63,96.9,2,2
2026-03-28,Windows 11,Critical,62,59,95.2,3,2
2026-03-28,Windows Server 2022,Pilot,32,31,96.9,1,0
2026-03-28,Windows Server 2022,Production,9,8,88.9,1,1
2026-03-28,Windows Server 2022,Critical,48,45,93.8,3,2
2026-03-28,Ubuntu 24.04,Pilot,11,11,100.0,0,1
2026-03-28,Ubuntu 24.04,Production,25,24,96.0,1,1
2026-03-28,Ubuntu 24.04,Critical,45,45,100.0,0,1
2026-03-28,Rocky Linux 9,Pilot,62,59,95.2,3,1
2026-03-28,Rocky Linux 9,Production,24,24,100.0,0,2
2026-03-28,Rocky Linux 9,Critical,50,46,92.0,4,0
2026-04-28,Windows 11,Pilot,31,29,93.5,2,0
2026-04-28,Windows 11,Production,65,62,95.4,3,0
2026-04-28,Windows 11,Critical,56,52,92.9,4,1
2026-04-28,Windows Server 2022,Pilot,41,40,97.6,1,2
