License ID,Product,Purchased,Assigned,Available,Renewal
LIC-0001,Windows Server,100,80,20,2027-06-30
LIC-0002,Microsoft 365 Apps,100,80,20,2027-06-30
LIC-0003,VMware vSphere,100,80,20,2027-06-30
LIC-0004,Veeam,100,80,20,2027-06-30
LIC-0005,PRTG,100,80,20,2027-06-30
LIC-0006,Terraform,100,80,20,2027-06-30
LIC-0007,PowerShell,100,80,20,2027-06-30
LIC-0008,Google Chrome,100,80,20,2027-06-30
LIC-0009,Microsoft Edge,100,80,20,2027-06-30
LIC-0010,Notepad++,100,80,20,2027-06-30
LIC-0011,SQL Server,100,80,20,2027-06-30
LIC-0012,Visual Studio Code,100,80,20,2027-06-30
LIC-0013,OpenSSH,100,80,20,2027-06-30
LIC-0014,Ubuntu Server,100,80,20,2027-06-30
LIC-0015,Amazon Linux,100,80,20,2027-06-30
LIC-0016,Cisco AnyConnect,100,80,20,2027-06-30
LIC-0017,7-Zip,100,80,20,2027-06-30
LIC-0018,Defender,100,80,20,2027-06-30
