Asset ID,Purchase,Warranty End,Lifecycle,Replacement
SRV-0001,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0002,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0003,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0004,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0005,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0006,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0007,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0008,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0009,2025-01-15,2028-01-15,Production,2028 Q1
SRV-0010,2025-01-15,2028-01-15,Production,2028 Q1
